16,37,56,201,208,238,303,327,419,430,432,514,551,596,609,708,725,750,756,773,774,781,782,809,902,907,926,970,1000,1001,1023,1078,1139,1141,1261,1279,1304,1434,1462
40,75,100,130,140,159,237,252,307,324,338,339,367,384,427,441,522,663,720,746,776,782,783,808,816,829,842,844,955,960,961,1082,1160,1214,1247,1265,1274,1336,1490
34,40,139,143,156,281,335,383,401,482,526,532,534,563,569,613,622,630,652,730,756,769,774,782,808,826,840,888,986,990,999,1003,1021,1022,1136,1173,1317,1420,1440
23,45,49,86,235,258,300,354,367,455,460,475,516,541,576,594,602,605,683,712,742,786,852,880,940,1034,1051,1112,1113,1119,1124,1130,1151,1169,1222,1444,1446,1455,1456
29,33,85,132,143,172,201,203,238,279,314,363,469,489,546,590,596,662,671,873,881,901,995,1004,1006,1012,1022,1074,1077,1199,1261,1314,1315,1342,1367,1384,1440,1468,1474
147,155,161,191,234,261,294,306,349,454,575,606,668,686,705,761,793,794,806,823,908,916,961,1007,1035,1042,1080,1091,1098,1163,1190,1208,1217,1229,1232,1291,1363,1382,1485
23,76,151,152,184,202,223,261,268,384,402,424,567,580,601,622,634,639,647,696,703,729,775,789,791,792,814,962,983,1007,1082,1217,1357,1361,1475,1479,1482,1483,1487
0,6,61,78,82,114,126,194,240,252,367,381,391,403,420,455,464,470,487,488,559,592,636,682,723,726,977,989,1005,1078,1090,1300,1305,1307,1338,1361,1379,1404,1480
3,40,57,86,204,251,258,269,299,346,501,548,571,620,650,729,748,780,787,821,866,877,954,1023,1055,1070,1113,1167,1177,1250,1285,1310,1329,1403,1427,1441,1470,1495,1502
46,61,64,71,244,255,335,354,358,377,447,451,483,518,634,647,657,701,730,745,749,768,868,894,910,976,1000,1018,1067,1084,1098,1175,1200,1218,1273,1284,1334,1361,1388
29,63,86,100,164,200,268,329,335,403,421,440,443,446,496,501,528,579,603,621,647,735,745,760,775,835,874,960,1133,1147,1158,1192,1226,1264,1352,1391,1400,1431,1503
19,60,104,145,161,163,165,220,306,312,315,399,427,431,445,455,489,503,546,556,580,596,598,711,769,779,835,875,880,889,1024,1056,1161,1208,1290,1344,1413,1480,1494
84,184,267,338,370,391,407,454,465,476,501,518,573,586,626,641,643,686,708,750,778,791,848,851,864,867,868,876,934,1038,1061,1103,1112,1129,1217,1268,1296,1398,1473
46,57,95,189,223,232,270,273,312,321,378,379,390,419,440,575,583,588,644,674,692,739,751,790,792,968,980,993,1013,1019,1101,1130,1174,1277,1335,1372,1430,1484,1485
12,22,51,102,144,152,157,188,248,274,289,292,393,552,577,612,637,688,707,845,949,950,951,1014,1020,1025,1094,1177,1194,1220,1251,1285,1378,1405,1406,1442,1462,1489,1498
60,125,193,202,211,293,342,381,397,474,530,546,555,558,578,579,581,630,671,743,805,808,1018,1028,1063,1115,1143,1201,1225,1233,1234,1243,1261,1329,1415,1419,1430,1462,1487
64,87,156,203,260,303,343,433,495,542,564,622,660,704,723,781,791,792,800,809,814,848,875,982,1035,1073,1194,1201,1217,1271,1280,1295,1313,1377,1407,1450,1498,1501,1503
0,45,51,63,181,272,293,299,383,397,424,436,453,510,553,572,615,654,663,677,705,765,867,923,934,1007,1037,1056,1158,1208,1217,1258,1266,1312,1361,1430,1453,1467,1495
0,9,25,121,177,262,277,278,310,327,366,380,381,382,429,450,492,524,552,613,635,660,686,692,743,818,1000,1081,1132,1159,1214,1247,1269,1318,1324,1419,1442,1491,1501
2,28,61,106,125,173,202,261,264,301,311,324,468,496,501,527,533,625,660,664,708,755,945,979,1110,1160,1226,1294,1311,1316,1356,1373,1387,1411,1414,1438,1441,1455,1494
