30,55,90,161,208,283,293,300,324,353,373,403,433,466,469,480,493,495,531,610,636,667,701,774,819,829,842,910,1038,1039,1104,1123,1200,1215,1254,1271,1302,1319,1425
91,107,118,146,174,202,345,398,476,486,516,530,534,572,597,607,608,615,621,698,720,727,744,830,898,921,945,1047,1115,1151,1182,1194,1224,1225,1346,1366,1373,1398,1448
2,3,27,67,69,86,120,137,149,151,207,215,236,237,289,368,468,566,613,621,671,722,746,801,838,845,893,952,968,982,1005,1051,1127,1156,1157,1194,1238,1264,1378
17,38,50,93,120,215,236,314,322,324,327,342,353,362,377,390,400,495,622,639,664,671,685,722,776,785,967,1031,1098,1108,1183,1191,1192,1204,1209,1271,1276,1296,1382
1,22,59,143,180,332,346,347,372,414,417,444,529,571,601,613,622,674,836,851,859,901,910,962,974,977,1007,1032,1042,1058,1217,1303,1317,1323,1346,1443,1449,1453,1468
14,57,87,146,179,214,368,452,462,472,479,483,507,520,525,535,582,595,635,665,705,706,716,851,897,1013,1075,1160,1234,1250,1251,1303,1317,1325,1355,1429,1441,1458,1488
38,82,91,93,126,173,333,393,448,461,552,594,639,691,697,706,717,729,859,924,926,948,960,997,1006,1070,1092,1124,1138,1240,1263,1264,1295,1299,1319,1403,1438,1461,1492
61,97,152,155,159,166,168,170,235,252,253,298,324,338,344,348,361,381,461,572,580,594,665,753,755,806,828,1001,1012,1030,1047,1061,1063,1205,1224,1240,1293,1390,1456
29,61,156,161,199,271,310,311,338,357,379,416,486,494,496,517,523,588,613,620,666,725,774,889,890,922,980,1045,1066,1084,1143,1151,1225,1270,1306,1337,1363,1457,1460
24,55,59,61,136,144,146,227,261,275,402,406,442,448,483,493,572,611,616,658,676,689,809,909,918,953,957,1070,1107,1149,1267,1284,1285,1351,1367,1389,1398,1412,1473
34,44,47,56,65,69,101,113,148,231,237,328,337,372,389,420,482,562,629,720,901,963,995,1013,1050,1105,1118,1146,1200,1217,1285,1297,1324,1356,1376,1377,1420,1442,1460
0,12,20,37,52,64,129,155,187,207,302,318,328,416,423,436,471,608,633,669,749,768,841,879,889,1037,1218,1255,1258,1274,1277,1278,1308,1309,1341,1362,1396,1406,1451
14,30,58,103,131,136,169,173,208,224,259,299,355,386,451,459,484,495,508,536,543,551,602,638,666,762,808,822,831,832,886,1069,1075,1106,1282,1283,1333,1465,1475
0,50,69,86,150,224,264,272,304,321,339,343,363,379,382,384,426,438,464,470,514,575,637,676,786,826,898,900,927,953,1021,1064,1081,1120,1166,1180,1221,1222,1313
30,127,219,224,253,268,311,312,388,422,495,517,522,585,594,607,610,633,815,842,877,880,910,911,974,1004,1008,1070,1139,1187,1200,1276,1306,1307,1347,1407,1441,1448,1469
50,95,135,192,230,302,328,362,374,440,501,571,598,670,673,717,720,781,809,810,818,827,875,953,1049,1088,1139,1149,1238,1246,1255,1281,1297,1305,1356,1410,1432,1440,1454
36,123,134,262,279,326,384,417,486,503,515,542,572,610,739,746,750,754,770,783,814,833,881,959,969,985,1000,1022,1090,1233,1235,1251,1271,1300,1323,1341,1344,1346,1355
153,167,184,190,234,244,261,378,384,438,457,458,566,581,596,607,649,676,689,770,803,847,877,928,1070,1075,1114,1117,1214,1215,1225,1265,1373,1395,1424,1435,1441,1445,1471
7,20,36,62,113,126,217,229,283,312,346,436,466,554,559,595,622,657,691,697,741,757,780,803,805,840,889,1007,1022,1030,1168,1250,1279,1287,1323,1366,1432,1467,1499
13,52,136,142,145,188,199,201,273,317,327,329,333,343,392,423,451,585,597,715,740,753,784,940,966,985,1012,1026,1052,1149,1155,1171,1229,1236,1295,1315,1371,1416,1422
