1,5,26,96,127,157,172,173,243,261,266,342,354,366,374,421,433,438
36,63,71,76,94,95,97,110,143,164,167,174,223,236,241,254,312,318
55,77,95,153,161,169,193,198,203,242,304,314,315,317,357,395,436,439
35,39,105,113,118,191,240,249,254,301,303,324,335,392,408,432,434,439
92,114,153,173,207,227,248,253,254,272,273,278,286,328,370,372,401,437
39,48,52,67,108,128,185,186,219,239,250,258,284,294,364,375,386,419
3,16,28,29,60,91,107,119,133,223,245,275,285,298,306,316,363,378
6,8,36,79,88,96,109,136,158,160,167,170,181,223,341,348,406,424
16,27,31,36,90,148,171,184,192,226,234,247,259,270,301,380,381,429
7,71,85,96,138,194,208,213,234,242,254,288,354,356,364,387,389,435
16,57,59,86,152,156,191,206,233,300,330,341,349,355,373,398,405,416
9,17,55,84,119,121,139,173,175,182,183,184,228,248,263,346,394,441
1,13,37,58,64,91,130,151,189,200,226,231,292,298,327,336,342,416
8,24,42,46,104,135,150,170,208,247,305,336,379,380,386,411,428,434
27,28,35,74,80,110,111,115,161,171,172,221,236,254,318,325,408,430
21,50,60,61,107,140,150,189,206,243,283,310,323,329,343,416,422,430
0,18,110,114,123,134,160,170,207,213,238,258,261,283,318,383,403,424
60,88,138,153,155,188,199,222,229,237,253,270,300,302,362,404,407,429
7,15,46,57,89,96,108,139,189,213,222,243,249,274,297,362,372,379
4,15,23,35,42,54,84,87,105,141,183,221,267,315,350,381,394,395
