310,608,639,966,1093,1170
40,867,955,1425,1457,1487
119,212,286,629,878,1293
139,292,799,1274,1310,1405
196,831,956,1306,1374,1386
0,40,230,398,607,1186
306,314,822,1085,1315,1423
25,97,351,598,1297,1311
92,186,369,381,447,927
101,277,495,858,1323,1450
425,655,678,886,1258,1306
40,132,265,302,468,1206
62,563,667,783,910,1431
199,325,588,744,748,1304
167,211,505,707,1017,1299
27,100,218,773,976,1015
319,342,642,1025,1202,1336
204,246,396,505,1219,1426
637,716,1097,1247,1430,1478
123,124,314,349,644,1258
