11,20,30,33,69,162,171,178,204,260,270,298,346,360,394,401,416,431
21,27,31,42,47,97,99,104,263,272,301,320,345,347,376,389,395,424
18,20,33,48,121,125,189,244,249,285,337,340,362,366,374,381,429,431
94,98,99,131,142,198,228,246,249,253,269,291,297,344,390,417,421,433
17,25,36,50,54,65,94,110,137,143,171,228,235,270,277,286,301,407
23,25,50,74,120,150,162,178,188,202,204,289,290,304,339,377,383,389
4,8,43,60,87,104,167,193,205,210,221,258,267,282,326,332,372,421
79,85,114,140,149,181,185,212,225,254,266,276,298,314,374,408,419,435
8,9,41,59,108,156,170,198,245,259,290,319,320,326,349,350,387,393
39,54,69,75,128,180,196,216,226,227,231,285,300,329,343,377,399,438
76,104,113,118,128,129,138,154,155,219,238,294,313,349,382,388,420,434
8,17,85,88,113,123,218,243,279,304,308,309,336,351,355,368,379,436
36,80,131,150,176,178,208,217,237,289,319,320,323,385,393,408,417,440
26,31,51,63,79,83,140,191,195,236,241,248,276,290,321,390,420,440
22,23,67,74,75,88,93,123,127,172,202,231,298,347,387,395,423,437
28,33,57,105,120,121,154,157,160,162,209,214,246,273,343,352,413,430
98,110,111,128,144,153,162,226,231,236,239,284,323,325,350,361,411,428
41,47,66,70,98,122,157,158,174,298,315,336,345,379,383,389,410,422
25,51,78,95,105,120,141,144,192,197,248,303,324,362,367,371,384,389
36,58,92,97,174,181,192,193,258,283,308,321,335,336,354,373,418,431
