75,137,628,1124,1155,1216
226,329,456,632,691,1394
376,395,549,786,824,868
496,915,1069,1132,1307,1398
729,843,905,950,1130,1484
238,831,1090,1152,1206,1218
135,236,501,505,1078,1402
59,617,793,1262,1350,1391
264,352,696,886,1032,1377
459,811,932,1254,1401,1416
122,315,434,596,1014,1222
2,49,220,237,666,1350
174,267,474,918,1149,1322
371,394,408,957,1034,1293
102,425,764,771,1126,1129
28,227,447,631,1130,1328
299,665,872,1036,1072,1200
314,635,896,972,1037,1402
36,340,760,796,887,893
41,48,1178,1207,1316,1394
